Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения
Подъём ног в висе 6,40,0,12,4,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",пресс,4.8
Бег на месте 6,50,0,15,3,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",икры,4.8
Бёрпи 6,10,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/плечи,5.0
Прыжки на скакалке 6,10,0,15,3,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.9
Альпинист 6,0,60,0,0,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.2
Скакалка двойные прыжки 6,40,0,10,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",пресс,4.9
Жим штанги лёжа 7,50,0,15,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.1
Становая тяга 7,0,60,0,0,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.2
Приседания со штангой 7,20,0,15,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/бицепс,4.0
Подтягивания широким хватом 7,30,0,12,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.7
Отжимания от пола 7,10,0,12,3,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.7
Сгибание рук с гантелями 7,50,0,10,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.8
Разгибание ног в тренажёре 7,0,30,0,0,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",грудь/плечи,4.9
Планка 7,10,0,12,4,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/бицепс,4.9
Подъём корпуса на пресс 7,10,0,12,4,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/бицепс,4.7
Разведение рук с гантелями лёжа 7,10,0,15,4,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/плечи,4.8
Жим гантелей сидя 7,5,0,15,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/трицепс,4.8
Тяга верхнего блока 7,50,0,10,4,120,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",спина/поясница,4.9
Гиперэкстензия 7,40,0,15,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",приводящие,4.5
Выпады с гантелями 7,30,0,10,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.4
Скручивания на полу 7,20,0,10,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",приводящие,4.6
Тяга в наклоне 7,40,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/бицепс,4.1
Жим ногами в тренажёре 7,30,0,10,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",ноги/ягодицы,4.7
Фронтальные приседания 7,5,0,12,3,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.0
Махи гирей 7,10,0,15,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/плечи,4.4
Русский твист 7,0,60,0,0,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",приводящие,4.6
Подъем на носки стоя 7,0,30,0,0,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/поясница,4.6
Тяга штанги к подбородку 7,10,0,10,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",приводящие,4.7
Пулловер с гантелью 7,0,60,0,0,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",ноги/ягодицы,4.8
Отжимания на брусьях 7,20,0,15,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",икры,4.4
Румынская тяга 7,0,30,0,0,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",приводящие,4.3
Жим Арнольда 7,0,0,12,4,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",грудь/трицепс,4.8
Подъём ног в висе 7,50,0,12,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",пресс,4.8
Бег на месте 7,5,0,15,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.0
Бёрпи 7,50,0,12,4,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.4
Прыжки на скакалке 7,0,30,0,0,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.5
Альпинист 7,0,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.1
Скакалка двойные прыжки 7,10,0,15,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.7
Жим штанги лёжа 8,50,0,15,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",ноги/ягодицы,4.9
Становая тяга 8,50,0,15,4,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",икры,5.0
Приседания со штангой 8,10,0,12,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,4.3
Подтягивания широким хватом 8,40,0,10,4,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",плечи/трапеции,4.6
Отжимания от пола 8,5,0,15,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.9
Сгибание рук с гантелями 8,20,0,12,3,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",икры,4.7
Разгибание ног в тренажёре 8,40,0,12,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.7
Планка 8,5,0,12,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/плечи,4.7
Подъём корпуса на пресс 8,5,0,15,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",икры,4.1
Разведение рук с гантелями лёжа 8,40,0,12,4,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.8
Жим гантелей сидя 8,10,0,12,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",предплечья,4.8
Тяга верхнего блока 8,0,60,0,0,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.8
Гиперэкстензия 8,5,0,15,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",предплечья,4.1
Выпады с гантелями 8,30,0,10,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/поясница,4.8
Скручивания на полу 8,0,0,15,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,4.4
Тяга в наклоне 8,20,0,12,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",икры,4.2
Жим ногами в тренажёре 8,50,0,12,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.9
Фронтальные приседания 8,0,0,15,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",приводящие,4.7
Махи гирей 8,0,30,0,0,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.5
Русский твист 8,5,0,15,3,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",пресс,4.9
Подъем на носки стоя 8,50,0,15,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/плечи,4.6
Тяга штанги к подбородку 8,40,0,12,3,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",пресс,4.3
Пулловер с гантелью 8,30,0,12,3,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",икры,4.8
Отжимания на брусьях 8,50,0,10,3,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",грудь/трицепс,4.0
Румынская тяга 8,20,0,15,4,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/плечи,5.0
Жим Арнольда 8,40,0,10,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",предплечья,4.2
Подъём ног в висе 8,0,30,0,0,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.4
Бег на месте 8,50,0,12,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,5.0
Бёрпи 8,10,0,10,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/поясница,4.3
Прыжки на скакалке 8,50,0,12,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",пресс,4.8
Альпинист 8,50,0,12,4,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",предплечья,4.2
Скакалка двойные прыжки 8,40,0,10,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/поясница,4.5
Жим штанги лёжа 9,5,0,10,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/бицепс,4.6
Становая тяга 9,50,0,15,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.3
Приседания со штангой 9,10,0,10,4,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",пресс,4.1
Подтягивания широким хватом 9,20,0,12,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.8
Отжимания от пола 9,5,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.9
Сгибание рук с гантелями 9,20,0,10,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/бицепс,4.9
Разгибание ног в тренажёре 9,10,0,15,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",плечи/трапеции,4.3
Планка 9,30,0,15,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",ноги/ягодицы,4.4
Подъём корпуса на пресс 9,50,0,15,4,60,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",приводящие,4.7
Разведение рук с гантелями лёжа 9,50,0,15,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,5.0
Жим гантелей сидя 9,50,0,12,4,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/поясница,4.7
Тяга верхнего блока 9,10,0,15,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",ноги/ягодицы,5.0
Гиперэкстензия 9,40,0,15,4,60,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",ноги/ягодицы,4.6
Выпады с гантелями 9,5,0,15,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/плечи,4.1
Скручивания на полу 9,20,0,15,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",икры,4.1
Тяга в наклоне 9,10,0,12,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/поясница,4.7
Жим ногами в тренажёре 9,10,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",ноги/ягодицы,4.6
Фронтальные приседания 9,50,0,10,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",икры,4.8
Махи гирей 9,20,0,12,4,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.2
Русский твист 9,10,0,12,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",пресс,4.6
Подъем на носки стоя 9,20,0,15,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.3
Тяга штанги к подбородку 9,0,0,10,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",ноги/ягодицы,4.0
Пулловер с гантелью 9,40,0,15,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",спина/бицепс,4.8
Отжимания на брусьях 9,0,30,0,0,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/бицепс,4.9
Румынская тяга 9,20,0,12,3,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.8
Жим Арнольда 9,50,0,12,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/бицепс,5.0
Подъём ног в висе 9,50,0,10,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.7
Бег на месте 9,50,0,15,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",ноги/ягодицы,4.3
Бёрпи 9,5,0,15,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",спина/бицепс,4.7
Прыжки на скакалке 9,5,0,10,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.0
Альпинист 9,0,30,0,0,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/поясница,4.9
Скакалка двойные прыжки 9,30,0,12,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.3
Жим штанги лёжа 10,5,0,10,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.9
Становая тяга 10,5,0,10,3,90,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",ноги/ягодицы,4.1
Приседания со штангой 10,20,0,12,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.4
Подтягивания широким хватом 10,50,0,15,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.1
Отжимания от пола 10,30,0,12,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.5
Сгибание рук с гантелями 10,30,0,12,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.8
Разгибание ног в тренажёре 10,40,0,15,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/бицепс,4.7
Планка 10,0,0,12,4,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",пресс,4.3
Подъём корпуса на пресс 10,10,0,10,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.4
Разведение рук с гантелями лёжа 10,5,0,15,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/плечи,4.8
Жим гантелей сидя 10,20,0,12,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.5
Тяга верхнего блока 10,0,30,0,0,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",предплечья,4.4
Гиперэкстензия 10,5,0,15,3,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",пресс,4.5
Выпады с гантелями 10,50,0,12,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",предплечья,4.5
Скручивания на полу 10,50,0,10,4,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/плечи,4.5
Тяга в наклоне 10,40,0,15,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.1
Жим ногами в тренажёре 10,40,0,12,4,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.2
Фронтальные приседания 10,40,0,15,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.6
Махи гирей 10,30,0,12,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.3
Русский твист 10,30,0,12,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",предплечья,4.0
Подъем на носки стоя 10,30,0,15,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.9
Тяга штанги к подбородку 10,0,0,12,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",ноги/ягодицы,4.1
Пулловер с гантелью 10,20,0,10,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/поясница,4.6
Отжимания на брусьях 10,30,0,12,4,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",предплечья,4.1
Румынская тяга 10,20,0,15,3,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.3
Жим Арнольда 10,50,0,15,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,5.0
Подъём ног в висе 10,10,0,10,4,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/поясница,4.7
Бег на месте 10,50,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",ноги/ягодицы,4.7
Бёрпи 10,20,0,15,4,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",плечи/трапеции,4.2
Прыжки на скакалке 10,5,0,12,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",предплечья,4.9
Альпинист 10,40,0,15,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",спина/бицепс,4.4
Скакалка двойные прыжки 10,40,0,12,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",грудь/плечи,5.0
Жим штанги лёжа 11,10,0,15,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",пресс,4.5
Становая тяга 11,40,0,10,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,4.3
Приседания со штангой 11,40,0,12,4,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.7
Подтягивания широким хватом 11,50,0,15,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.9
Отжимания от пола 11,20,0,12,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",икры,4.8
Сгибание рук с гантелями 11,40,0,10,3,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",приводящие,4.1
Разгибание ног в тренажёре 11,40,0,12,4,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.2
Планка 11,40,0,12,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",грудь/плечи,4.9
Подъём корпуса на пресс 11,50,0,12,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",грудь/трицепс,4.3
Разведение рук с гантелями лёжа 11,50,0,12,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",приводящие,4.5
Жим гантелей сидя 11,20,0,10,4,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,4.8
Тяга верхнего блока 11,40,0,15,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.0
Гиперэкстензия 11,30,0,10,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",спина/бицепс,4.7
Выпады с гантелями 11,40,0,10,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",ноги/ягодицы,4.1
Скручивания на полу 11,50,0,10,4,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.9
Тяга в наклоне 11,0,60,0,0,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.9
Жим ногами в тренажёре 11,40,0,10,3,60,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",ноги/ягодицы,5.0
Фронтальные приседания 11,10,0,12,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",икры,4.4
Махи гирей 11,20,0,10,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/плечи,4.6
Русский твист 11,40,0,10,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.8
Подъем на носки стоя 11,20,0,15,3,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",плечи/трапеции,5.0
Тяга штанги к подбородку 11,5,0,12,4,120,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.5
Пулловер с гантелью 11,20,0,15,3,60,"Встаньте прямо, ноги на ширине плеч, выполните движение медленно, удерживая спину ровной.",ноги/ягодицы,4.6
Отжимания на брусьях 11,40,0,15,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",пресс,4.6
Румынская тяга 11,10,0,10,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",икры,4.0
Жим Арнольда 11,10,0,12,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",приводящие,4.7
Подъём ног в висе 11,0,60,0,0,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/бицепс,4.8
Бег на месте 11,20,0,15,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",ноги/ягодицы,4.8
Бёрпи 11,0,0,10,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/поясница,4.4
Прыжки на скакалке 11,50,0,12,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",грудь/плечи,5.0
Альпинист 11,20,0,15,3,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",грудь/плечи,4.3
Скакалка двойные прыжки 11,0,60,0,0,120,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",пресс,4.7
Жим штанги лёжа 12,20,0,15,3,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",предплечья,4.6
Становая тяга 12,5,0,15,4,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.7
Приседания со штангой 12,10,0,15,4,120,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",приводящие,4.7
Подтягивания широким хватом 12,40,0,10,3,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",приводящие,4.9
Отжимания от пола 12,30,0,10,3,90,"Выполните прыжок вверх с хлопком над головой, затем мягко приземлитесь и повторите.",спина/бицепс,5.0
Сгибание рук с гантелями 12,20,0,15,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/плечи,4.3
Разгибание ног в тренажёре 12,30,0,10,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.7
Планка 12,0,60,0,0,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",приводящие,5.0
Подъём корпуса на пресс 12,0,0,10,4,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",приводящие,4.0
Разведение рук с гантелями лёжа 12,10,0,10,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",предплечья,4.4
Жим гантелей сидя 12,50,0,12,3,60,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",грудь/трицепс,4.4
Тяга верхнего блока 12,20,0,10,4,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",спина/поясница,4.8
Гиперэкстензия 12,20,0,12,4,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",предплечья,4.0
Выпады с гантелями 12,5,0,12,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",икры,4.5
Скручивания на полу 12,50,0,15,3,90,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",спина/бицепс,4.6
Тяга в наклоне 12,5,0,15,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",пресс,4.9
Жим ногами в тренажёре 12,50,0,15,3,90,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.0
Фронтальные приседания 12,40,0,10,3,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",пресс,4.1
Махи гирей 12,30,0,12,4,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",икры,4.7
Русский твист 12,40,0,15,3,120,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/трицепс,4.1
