Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения,Оригинальное название на английском,Сложность,Частые ошибки
Сведение рук в кроссовере нейтральным хватом,20,0,6,3,150,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение. Держите запястья ровными и локти стабильными.",грудь,4.3,Cable crossover — neutral-grip,Новичок,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории; отсутствует контроль темпа.
Подтягивания медленный негатив,0,0,8,5,120,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук. Опускайтесь 3–5 сек, без рывков.",спина/бицепс,3.9,Pull-up — slow eccentric,Средний,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки; отсутствует контроль темпа.
Тяга верхнего блока нейтральным хватом,20,0,15,3,90,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо. Держите запястья ровными и локти стабильными.",широчайшие/бицепс,3.9,Lat pulldown — neutral-grip,Новичок,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса; отсутствует контроль темпа.
Тяга штанги в наклоне темп 3–1–3,70,0,10,4,120,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",спина/задняя дельта,4.4,Bent-over barbell row — tempo 3–1–3,Продвинутый,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы; отсутствует контроль темпа.
Гребля на тренажёре частичная амплитуда,30,40,0,4,90,"Сядьте, стопы закреплены, спина нейтральна; толчок ногами, затем тяга к солнечному сплетению, верните в обратной последовательности. Работайте в целевом диапазоне без рывков.",спина/кардио,4.8,Rowing machine — partial ROM,Средний,Тянуть одними руками; ранний подсрыв корпусом; провал колен внутрь; сгибание запястий; отсутствует контроль темпа.
Становая тяга темп 3–1–3,70,0,12,3,90,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",задняя цепь/спина/ягодицы,4.3,Deadlift — tempo 3–1–3,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа.
Румынская тяга темп 3–1–3,60,0,8,5,150,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",бёдра/ягодицы,3.7,Romanian deadlift — tempo 3–1–3,Продвинутый,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа.
Приседания со штангой темп 3–1–3,30,0,10,4,150,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",квадрицепсы/ягодицы/кор,4.5,Back squat — tempo 3–1–3,Продвинутый,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа.
Жим ногами частичная амплитуда,30,0,8,3,90,"Стопы на платформе, поясница прижата; опускайте платформу до угла 90° в коленях и выжимайте, не выпрямляя колени в «замок». Работайте в целевом диапазоне без рывков.",квадрицепсы/ягодицы,3.7,Leg press — partial ROM,Средний,Сведение колен; отрыв поясницы; замок в коленях; слишком узкая постановка; отсутствует контроль темпа.
Выпады на наклонной скамье 30°,8,0,10,3,120,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Контролируйте плечи и ведите по дуге.",ягодицы/квадрицепсы,5.0,Lunge — on 30° incline,Средний,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа.
Гакк-присед частичная амплитуда,40,0,8,3,150,"Спина прижата к спинке, стопы чуть впереди; присядьте до параллели и выжмите, держа колени в линии носков. Работайте в целевом диапазоне без рывков.",квадрицепсы,3.8,Hack squat — partial ROM,Средний,Отрыв пяток; колени слишком вперёд; прогиб поясницы; короткая амплитуда; отсутствует контроль темпа.
Сгибания ног лёжа частичная амплитуда,30,0,15,3,150,"Лягте лицом вниз, валики над пятками; сгибайте колени до полного сокращения бицепса бедра и опускайте контролируемо. Работайте в целевом диапазоне без рывков.",бицепс бедра,4.0,Lying leg curl — partial ROM,Средний,Отрыв таза; рывки; движение тазом; отсутствие паузы; отсутствует контроль темпа.
Разгибания ног частичная амплитуда,50,0,6,4,120,"Сядьте, валик над голенями; разгибайте колени до верхней точки без рывка, опускайте с контролем. Работайте в целевом диапазоне без рывков.",квадрицепсы,4.9,Leg extension — partial ROM,Средний,Рывки; чрезмерный вес; разведение колен; болтающиеся стопы; отсутствует контроль темпа.
Подъёмы на носки частичная амплитуда,50,0,8,5,180,"Встаньте носками на платформу; поднимайтесь на носки, делая паузу вверху, опускайтесь до растяжения икр. Работайте в целевом диапазоне без рывков.",икры,4.2,Calf raise — partial ROM,Средний,Короткая амплитуда; пружинение; согнутые колени; разворот носков без контроля; отсутствует контроль темпа.
Жим штанги стоя темп 3–1–3,30,0,8,3,120,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",плечи/трицепс,4.5,Overhead press — tempo 3–1–3,Продвинутый,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа.
Жим гантелей сидя на наклонной скамье 30°,20,0,12,4,120,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Контролируйте плечи и ведите по дуге.",плечи,4.6,Seated dumbbell shoulder press — on 30° incline,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа.
Махи гантелями в стороны на наклонной скамье 30°,10,0,6,3,60,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Контролируйте плечи и ведите по дуге.",средняя дельта,4.0,Dumbbell lateral raise — on 30° incline,Средний,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа.
Тяга к подбородку темп 3–1–3,20,0,12,5,150,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",плечи/трапеции,4.4,Upright row — tempo 3–1–3,Продвинутый,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа.
Шраги на наклонной скамье 30°,6,0,15,4,150,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Контролируйте плечи и ведите по дуге.",трапеции,4.4,Shrug — on 30° incline,Средний,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа.
Подъём на бицепс со штангой темп 3–1–3,60,0,8,3,90,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",бицепс,5.0,Barbell biceps curl — tempo 3–1–3,Продвинутый,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа.
Подъём на бицепс молот на наклонной скамье 30°,4,0,6,5,150,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Контролируйте плечи и ведите по дуге.",бицепс/предплечья,3.7,Hammer curl — on 30° incline,Средний,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа.
Концентрированный подъём на бицепс на наклонной скамье 30°,6,0,6,3,90,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Контролируйте плечи и ведите по дуге.",бицепс,4.0,Concentration curl — on 30° incline,Средний,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа.
Французский жим темп 3–1–3,30,0,6,5,120,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",трицепс,3.7,Lying triceps extension — tempo 3–1–3,Продвинутый,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа.
Разгибания на блоке нейтральным хватом,5,0,15,5,150,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Держите запястья ровными и локти стабильными.",трицепс,4.8,Triceps pushdown — neutral-grip,Новичок,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа.
Отжимания на брусьях медленный негатив,5,0,10,5,180,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Опускайтесь 3–5 сек, без рывков.",грудь/трицепс,4.2,Dip — slow eccentric,Средний,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа.
Отжимания медленный негатив,0,0,15,3,60,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Опускайтесь 3–5 сек, без рывков.",грудь/плечи/трицепс,5.0,Push-up — slow eccentric,Средний,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа.
Скручивания медленный негатив,0,0,10,4,90,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху. Опускайтесь 3–5 сек, без рывков.",пресс,3.8,Crunch — slow eccentric,Средний,Тянуть шею руками; рывки; большой размах вместо подкручивания; отсутствует контроль темпа.
Подъём ног в висе медленный негатив,0,0,6,4,120,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно. Опускайтесь 3–5 сек, без рывков.",нижний пресс,3.5,Hanging leg raise — slow eccentric,Средний,Махи ногами; прогиб поясницы; отсутствие подкрутки таза; отсутствует контроль темпа.
Планка медленный негатив,5,45,0,3,120,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте. Опускайтесь 3–5 сек, без рывков.",кор,3.9,Plank — slow eccentric,Средний,Провисание поясницы; поднятый таз; разведение лопаток; отсутствует контроль темпа.
Русский твист медленный негатив,0,30,0,4,60,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам. Опускайтесь 3–5 сек, без рывков.",косые мышцы живота,4.5,Russian twist — slow eccentric,Средний,Скругление спины; вращение одними руками; слишком быстрый темп; отсутствует контроль темпа.
Берпи медленный негатив,0,40,0,5,150,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой. Опускайтесь 3–5 сек, без рывков.",всё тело/кардио,4.7,Burpee — slow eccentric,Средний,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху; отсутствует контроль темпа.
Скакалка медленный негатив,0,60,0,3,90,"Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично. Опускайтесь 3–5 сек, без рывков.",кардио/икры,3.5,Jump rope — slow eccentric,Средний,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку; отсутствует контроль темпа.
Тяга каната к лицу нейтральным хватом,10,0,8,3,150,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко. Держите запястья ровными и локти стабильными.",задняя дельта/верх спины,4.2,Face pull — neutral-grip,Новичок,Локти низко; тянуть руками без лопаток; нет разведения кистей; отсутствует контроль темпа.
Обратные разведения в тренажёре частичная амплитуда,40,0,10,3,180,"Сядьте лицом к тренажёру; разводите рукояти, сводя лопатки, удерживайте паузу и возвращайте контролируемо. Работайте в целевом диапазоне без рывков.",задняя дельта,4.0,Reverse pec deck — partial ROM,Средний,Работает трапеция вместо дельт; рывки; нет паузы в пик-сокращении; отсутствует контроль темпа.
Тяга гантели в наклоне на наклонной скамье 30°,16,0,8,4,150,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка. Контролируйте плечи и ведите по дуге.",широчайшие/средняя спина,4.2,Dumbbell row — on 30° incline,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу; отсутствует контроль темпа.
Хип-траст темп 3–1–3,20,0,15,3,150,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",ягодицы,3.9,Hip thrust — tempo 3–1–3,Продвинутый,Чрезмерный прогиб; короткая пауза; неверная постановка стоп; отсутствует контроль темпа.
Ягодичный мост медленный негатив,0,0,15,3,150,"Лягте на спину, стопы ближе к тазу; поднимайте таз, сжимая ягодицы, опускайте, сохраняя нейтральную спину. Опускайтесь 3–5 сек, без рывков.",ягодицы,3.5,Glute bridge — slow eccentric,Средний,Толчок поясницей; неполная амплитуда; колени гуляют; отсутствует контроль темпа.
Трастеры темп 3–1–3,70,45,0,5,120,"Присядьте со штангой на груди и взрывно выжмите её над головой, возвращаясь в стойку контролируемо. Опускайте 3 сек, пауза 1 сек, поднимайте 3 сек.",всё тело,4.3,Thruster — tempo 3–1–3,Продвинутый,Ранний пресс до выпрямления ног; дуга грифа; колени заваливаются; отсутствует контроль темпа.
Жим Арнольда на наклонной скамье 30°,6,0,6,3,120,"Сидя, начните с гантелями у груди ладонями к себе; вращая кисти, выжмите вверх до полного разгибания и опустите обратно. Контролируйте плечи и ведите по дуге.",плечи,3.7,Arnold press — on 30° incline,Средний,Сваливание локтей; сведение с ударом; излишний прогиб; отсутствует контроль темпа.
Фермерская прогулка на наклонной скамье 30°,4,60,0,5,150,"Возьмите тяжёлые гантели, корпус высокий; идите ровно короткими шагами, удерживая кор и нейтральную спину. Контролируйте плечи и ведите по дуге.",хват/кор/трапеции,3.5,Farmer's walk — on 30° incline,Средний,Сутулость; переваливание корпуса; стук снарядов о ноги; задержка дыхания; отсутствует контроль темпа.
Гиперэкстензия частичная амплитуда,40,0,12,4,120,"Застегнитесь в римском стуле; поднимайте корпус до линии с ногами, не переразгибая, опускайте контролируемо. Работайте в целевом диапазоне без рывков.",разгибатели спины/ягодицы,3.5,Back extension — partial ROM,Средний,Переразгибание вверху; движение за счёт спины; слишком быстрый темп; отсутствует контроль темпа.
Кикбэк на трицепс с гантелью на наклонной скамье 30°,4,0,6,3,120,"Наклоните корпус, локоть прижмите и поднимите вверх; разгибайте руку назад до полного сокращения трицепса, возвращайте плавно. Контролируйте плечи и ведите по дуге.",трицепс,4.3,Dumbbell triceps kickback — on 30° incline,Средний,Движение плечом; локоть опускается; чрезмерный вес; отсутствует контроль темпа.
Кикбэк на трицепс на блоке (канате) нейтральным хватом,20,0,6,5,90,"Корпус в наклоне, локти фиксированы; разгибайте предплечья назад, разводя концы каната в конце амплитуды. Держите запястья ровными и локти стабильными.",трицепс,4.4,Cable triceps kickback (rope) — neutral-grip,Новичок,Разведение локтей; движение корпусом; излом запястий; отсутствует контроль темпа.
Кикбэк на трицепс с опорой на скамью на наклонной скамье 30°,4,0,10,4,60,Опирайтесь на скамью свободной рукой; из положения наклона разгибайте руку с гантелью назад до полного выпрямления. Контролируйте плечи и ведите по дуге.,трицепс,4.4,Bench-supported dumbbell triceps kickback — on 30° incline,Средний,Округление спины; локоть «уезжает»; махи; отсутствует контроль темпа.
Кикбэк на трицепс в наклоне (поочерёдно) на наклонной скамье 30°,10,0,8,4,180,"В наклоне разгибайте поочерёдно каждую руку назад, фиксируя локоть и избегая раскачки корпуса. Контролируйте плечи и ведите по дуге.",трицепс,4.2,Alternating dumbbell triceps kickback — on 30° incline,Средний,Раскачка корпусом; опускание локтя; неполная амплитуда; отсутствует контроль темпа.
Жим штанги лёжа на повторения 6–8,20,0,10,5,150,"Лягте на скамью, лопатки сведены, стопы упираются; опустите штангу к нижней груди и выжмите вверх, не теряя напряжение. Выбирайте вес для 6–8 чистых повторений.",грудь/плечи/трицепс,3.8,Barbell bench press — 6–8 reps focus,Средний,Развод локтей; отрыв стоп; отскок от груди; гиперпрогиб в пояснице; неполная пауза; отсутствует контроль темпа.
Жим гантелей на наклонной скамье на наклонной скамье 45°,4,0,8,5,150,"Лягте на наклон 30–45°, гантели у груди; выжмите по дуге вверх и сведите без удара, опускайте контролируемо. Сохраняйте плотные лопатки и ровные запястья.",верхняя грудь/плечи,4.0,Incline dumbbell press — on 45° incline,Средний,Сведение с ударом; провал плеч; опускание слишком низко; потеря контроля лопаток; отсутствует контроль темпа.
Разводка гантелей лёжа на наклонной скамье 45°,8,0,12,3,60,"Лягте на скамью, лёгкий сгиб в локтях; разводите руки по широкой дуге до растяжения груди и сводите обратно. Сохраняйте плотные лопатки и ровные запястья.",грудь,4.2,Dumbbell flye — on 45° incline,Средний,Слишком прямые руки; рывки; чрезмерный вес; превращение движения в жим; отсутствует контроль темпа.
Сведение рук в кроссовере широким хватом,15,0,6,5,120,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение. Локти по линии, не тяните шеёй.",грудь,4.1,Cable crossover — wide-grip,Средний,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории; отсутствует контроль темпа.
Подтягивания на кольцах,0,0,15,3,120,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук. Крепко держите нейтральные запястья и стабилизируйте плечи.",спина/бицепс,4.0,Pull-up — on rings,Продвинутый,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки; отсутствует контроль темпа.
Тяга верхнего блока широким хватом,5,0,10,3,180,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо. Локти по линии, не тяните шеёй.",широчайшие/бицепс,3.7,Lat pulldown — wide-grip,Средний,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса; отсутствует контроль темпа.
Тяга штанги в наклоне на повторения 6–8,70,0,8,3,150,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков. Выбирайте вес для 6–8 чистых повторений.",спина/задняя дельта,4.6,Bent-over barbell row — 6–8 reps focus,Средний,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы; отсутствует контроль темпа.
Гребля на тренажёре с узкой постановкой,40,45,0,4,150,"Сядьте, стопы закреплены, спина нейтральна; толчок ногами, затем тяга к солнечному сплетению, верните в обратной последовательности. Держите колени по линии носков.",спина/кардио,4.6,Rowing machine — narrow stance,Средний,Тянуть одними руками; ранний подсрыв корпусом; провал колен внутрь; сгибание запястий; отсутствует контроль темпа.
Становая тяга на повторения 6–8,70,0,12,3,60,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Выбирайте вес для 6–8 чистых повторений.",задняя цепь/спина/ягодицы,4.4,Deadlift — 6–8 reps focus,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа.
Румынская тяга на повторения 6–8,40,0,8,5,90,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Выбирайте вес для 6–8 чистых повторений.",бёдра/ягодицы,4.1,Romanian deadlift — 6–8 reps focus,Средний,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа.
Приседания со штангой на повторения 6–8,20,0,12,4,180,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Выбирайте вес для 6–8 чистых повторений.",квадрицепсы/ягодицы/кор,4.5,Back squat — 6–8 reps focus,Средний,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа.
Жим ногами с узкой постановкой,40,0,12,3,90,"Стопы на платформе, поясница прижата; опускайте платформу до угла 90° в коленях и выжимайте, не выпрямляя колени в «замок». Держите колени по линии носков.",квадрицепсы/ягодицы,3.5,Leg press — narrow stance,Средний,Сведение колен; отрыв поясницы; замок в коленях; слишком узкая постановка; отсутствует контроль темпа.
Выпады на наклонной скамье 45°,12,0,6,4,180,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Сохраняйте плотные лопатки и ровные запястья.",ягодицы/квадрицепсы,4.7,Lunge — on 45° incline,Средний,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа.
Гакк-присед с узкой постановкой,30,0,12,3,60,"Спина прижата к спинке, стопы чуть впереди; присядьте до параллели и выжмите, держа колени в линии носков. Держите колени по линии носков.",квадрицепсы,4.0,Hack squat — narrow stance,Средний,Отрыв пяток; колени слишком вперёд; прогиб поясницы; короткая амплитуда; отсутствует контроль темпа.
Сгибания ног лёжа с узкой постановкой,40,0,8,3,150,"Лягте лицом вниз, валики над пятками; сгибайте колени до полного сокращения бицепса бедра и опускайте контролируемо. Держите колени по линии носков.",бицепс бедра,4.4,Lying leg curl — narrow stance,Средний,Отрыв таза; рывки; движение тазом; отсутствие паузы; отсутствует контроль темпа.
Разгибания ног с узкой постановкой,20,0,12,3,90,"Сядьте, валик над голенями; разгибайте колени до верхней точки без рывка, опускайте с контролем. Держите колени по линии носков.",квадрицепсы,4.6,Leg extension — narrow stance,Средний,Рывки; чрезмерный вес; разведение колен; болтающиеся стопы; отсутствует контроль темпа.
Подъёмы на носки с узкой постановкой,50,0,15,5,90,"Встаньте носками на платформу; поднимайтесь на носки, делая паузу вверху, опускайтесь до растяжения икр. Держите колени по линии носков.",икры,4.3,Calf raise — narrow stance,Средний,Короткая амплитуда; пружинение; согнутые колени; разворот носков без контроля; отсутствует контроль темпа.
Жим штанги стоя на повторения 6–8,40,0,6,4,120,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Выбирайте вес для 6–8 чистых повторений.",плечи/трицепс,4.6,Overhead press — 6–8 reps focus,Средний,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа.
Жим гантелей сидя на наклонной скамье 45°,6,0,10,4,120,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Сохраняйте плотные лопатки и ровные запястья.",плечи,4.4,Seated dumbbell shoulder press — on 45° incline,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа.
Махи гантелями в стороны на наклонной скамье 45°,6,0,8,3,90,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Сохраняйте плотные лопатки и ровные запястья.",средняя дельта,3.8,Dumbbell lateral raise — on 45° incline,Средний,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа.
Тяга к подбородку на повторения 6–8,20,0,15,3,120,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Выбирайте вес для 6–8 чистых повторений.",плечи/трапеции,4.6,Upright row — 6–8 reps focus,Средний,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа.
Шраги на наклонной скамье 45°,6,0,8,5,180,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Сохраняйте плотные лопатки и ровные запястья.",трапеции,4.3,Shrug — on 45° incline,Средний,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа.
Подъём на бицепс со штангой на повторения 6–8,20,0,6,5,150,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Выбирайте вес для 6–8 чистых повторений.",бицепс,4.6,Barbell biceps curl — 6–8 reps focus,Средний,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа.
Подъём на бицепс молот на наклонной скамье 45°,8,0,12,3,150,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Сохраняйте плотные лопатки и ровные запястья.",бицепс/предплечья,3.5,Hammer curl — on 45° incline,Средний,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа.
Концентрированный подъём на бицепс на наклонной скамье 45°,4,0,10,3,60,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Сохраняйте плотные лопатки и ровные запястья.",бицепс,3.8,Concentration curl — on 45° incline,Средний,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа.
Французский жим на повторения 6–8,40,0,15,3,60,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Выбирайте вес для 6–8 чистых повторений.",трицепс,3.6,Lying triceps extension — 6–8 reps focus,Средний,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа.
Разгибания на блоке широким хватом,15,0,8,4,180,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Локти по линии, не тяните шеёй.",трицепс,5.0,Triceps pushdown — wide-grip,Средний,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа.
Отжимания на брусьях на кольцах,0,0,6,3,180,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Крепко держите нейтральные запястья и стабилизируйте плечи.",грудь/трицепс,4.1,Dip — on rings,Продвинутый,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа.
Отжимания на кольцах,0,0,10,4,90,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Крепко держите нейтральные запястья и стабилизируйте плечи.",грудь/плечи/трицепс,5.0,Push-up — on rings,Продвинутый,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа.
